Filename,Meansize(mm)
Run354_Image08153_Crib0286.png,40.44
Run354_Image08153_Crib0287.png,39.32
Run354_Image08154_Crib0288.png,37.96
Run354_Image08154_Crib0289.png,39.47
Run354_Image08155_Crib0290.png,39.37
Run354_Image08155_Crib0291.png,41.04
Run354_Image08156_Crib0292.png,40.84
Run354_Image08156_Crib0293.png,39.58
Run354_Image08157_Crib0294.png,39.03
Run354_Image08157_Crib0295.png,39.58
Run354_Image08158_Crib0296.png,40.56
Run354_Image08158_Crib0297.png,38.63
Run354_Image08159_Crib0298.png,38.49
Run354_Image08159_Crib0299.png,38.30
Run354_Image08160_Crib0300.png,39.02
Run354_Image08160_Crib0301.png,40.34
Run354_Image08161_Crib0302.png,39.89
Run354_Image08161_Crib0303.png,39.85
Run354_Image08162_Crib0304.png,39.47
Run354_Image08162_Crib0305.png,39.38
Run354_Image08163_Crib0306.png,37.90
Run354_Image08164_Crib0307.png,38.91
Run354_Image08164_Crib0308.png,38.44
Run354_Image08165_Crib0309.png,39.71
Run354_Image08165_Crib0310.png,39.39
Run354_Image08166_Crib0311.png,38.76
Run354_Image08166_Crib0312.png,39.53
Run354_Image08167_Crib0313.png,39.11
Run354_Image08167_Crib0314.png,39.16
Run354_Image08168_Crib0315.png,39.79
Run354_Image08168_Crib0316.png,37.94
Run354_Image08169_Crib0317.png,38.22
Run354_Image08169_Crib0318.png,39.10
Run354_Image08170_Crib0319.png,38.81
Run354_Image08170_Crib0320.png,39.05
Run354_Image08171_Crib0321.png,40.87
Run354_Image08171_Crib0322.png,39.61
Run354_Image08172_Crib0323.png,39.34
Run354_Image08172_Crib0324.png,39.37
Run354_Image08173_Crib0325.png,38.89
Run354_Image08173_Crib0326.png,39.12
Run354_Image08174_Crib0327.png,38.11
Run354_Image08174_Crib0328.png,37.92
Run354_Image08175_Crib0329.png,39.82
Run354_Image08175_Crib0330.png,38.55
Run354_Image08176_Crib0331.png,39.53
Run354_Image08176_Crib0332.png,38.84
Run354_Image08177_Crib0333.png,37.18
Run354_Image08177_Crib0334.png,37.45
Run354_Image08178_Crib0335.png,37.71
Run354_Image08178_Crib0336.png,37.88
Run354_Image08179_Crib0337.png,37.77
Run354_Image08179_Crib0338.png,38.01
Run354_Image08180_Crib0339.png,39.60
Run354_Image08180_Crib0340.png,38.14
Run354_Image08181_Crib0341.png,39.76
Run354_Image08181_Crib0342.png,39.55
Run354_Image08182_Crib0343.png,38.88
Run354_Image08182_Crib0344.png,37.59
Run354_Image08183_Crib0345.png,39.14
Run354_Image08183_Crib0346.png,38.49
Run354_Image08184_Crib0347.png,39.52
Run354_Image08184_Crib0348.png,38.79
Run354_Image08185_Crib0349.png,38.60
Run354_Image08185_Crib0350.png,40.52
Run354_Image08186_Crib0351.png,39.17
Run354_Image08186_Crib0352.png,40.48
Run354_Image08187_Crib0353.png,38.59
Run354_Image08187_Crib0354.png,37.95
Run354_Image08188_Crib0355.png,39.25
Run354_Image08188_Crib0356.png,38.40
Run354_Image08189_Crib0357.png,38.31
Run354_Image08189_Crib0358.png,39.13
Run354_Image08190_Crib0359.png,40.89
Run354_Image08190_Crib0360.png,38.81
Run354_Image08191_Crib0361.png,38.56
Run354_Image08192_Crib0362.png,39.98
Run354_Image08192_Crib0363.png,39.47
Run354_Image08193_Crib0364.png,40.53
Run354_Image08193_Crib0365.png,39.01
Run354_Image08194_Crib0366.png,38.72
Run354_Image08194_Crib0367.png,40.63
Run354_Image08195_Crib0368.png,39.35
Run354_Image08195_Crib0369.png,40.28
Run354_Image08196_Crib0370.png,39.16
Run354_Image08196_Crib0371.png,40.79
Run354_Image08197_Crib0372.png,40.60
Run354_Image08197_Crib0373.png,41.06
Run354_Image08198_Crib0374.png,39.89
Run354_Image08198_Crib0375.png,40.30
Run354_Image08199_Crib0376.png,40.68
Run354_Image08199_Crib0377.png,40.21
Run354_Image08200_Crib0378.png,41.18
Run354_Image08200_Crib0379.png,39.59
Run354_Image08201_Crib0380.png,39.70
Run354_Image08201_Crib0381.png,38.98
Run354_Image08202_Crib0382.png,40.31
Run354_Image08202_Crib0383.png,38.47
Run354_Image08203_Crib0384.png,38.40
Run354_Image08203_Crib0385.png,39.67
Run354_Image08204_Crib0386.png,39.28
Run354_Image08204_Crib0387.png,39.57
Run354_Image08205_Crib0388.png,39.66
Run354_Image08205_Crib0389.png,39.85
Run354_Image08206_Crib0390.png,40.27
Run354_Image08206_Crib0391.png,39.56
Run354_Image08207_Crib0392.png,39.66
Run354_Image08207_Crib0393.png,40.42
Run354_Image08208_Crib0394.png,39.70
Run354_Image08208_Crib0395.png,40.54
Run354_Image08209_Crib0396.png,39.67
Run354_Image08209_Crib0397.png,40.75
Run354_Image08210_Crib0398.png,40.00
Run354_Image08210_Crib0399.png,40.31
Run354_Image08211_Crib0400.png,40.13
Run354_Image08211_Crib0401.png,39.16
Run354_Image08212_Crib0402.png,39.60
Run354_Image08212_Crib0403.png,40.45
Run354_Image08213_Crib0404.png,40.38
Run354_Image08213_Crib0405.png,40.49
Run354_Image08214_Crib0406.png,39.85
Run354_Image08214_Crib0407.png,41.44
Run354_Image08215_Crib0408.png,39.65
Run354_Image08216_Crib0409.png,39.32
Run354_Image08216_Crib0410.png,41.07
Run354_Image08217_Crib0411.png,39.49
Run354_Image08217_Crib0412.png,38.42
