crib_0000000_0000000_974_1435.png,crib_0000001_0000002_3651_4090.png,crib_0000031_0000032_63744_64206.png,crib_0000033_0000033_66439_66818.png,crib_0000059_0000059_118708_119155.png,crib_0000206_0000206_413557_413973.png,crib_0004943_0004943_9887118_9887493.png,crib_0009356_0009356_18713198_18713637.png,crib_0020050_0020051_20050688_20051131.png,crib_0020053_0020053_20053341_20053798.png
28.018,9.925,21.783,31.903,20.5,21.506,30.083,42.264,34.533,23.77
18.974,29.77,12,25.373,31.945,10.062,23.431,25.348,19,26.476
41.183,24.047,19.647,25.309,31.504,33.801,22.672,12.971,12,22.361
11.402,17.507,25.622,11,47.003,22.277,49.244,14.009,7.28,48.094
32.388,42.24,28.218,17.92,50.855,20.012,18,11.715,17.692,55.543
22.804,31.401,27.115,5.696,12.369,11.18,17.493,20.718,23.854,29.833
29,24.413,49.752,23.214,26.239,15.443,11.314,27.226,34.821,30.414
17.493,23.712,36.003,27.56,20.518,19.449,40,15.66,16.621,49.244
27.586,23.817,33.242,6.708,14.841,36.056,45.011,35.641,17.529,31.78
36.139,20.815,12.981,21.177,28.636,41.367,45,24.274,11.068,27.295
19.925,19.105,18.788,8.57,26.655,25.773,31.305,30.336,18.028,37
38.013,7.632,22.94,27.954,29.12,44.263,54.037,15.033,19.602,27.857
28.071,36.514,6.042,7.902,36.222,45.525,22.472,17.529,26.42,13.892
12.53,10.607,44.433,9.545,42.157,32.867,26,7.5,10,26.306
24.515,23.5,36.531,18.077,31.504,17.007,12,36.056,46.811,29
43.417,19.526,28.111,35.335,16.508,19.007,21.213,23.308,55.509,40.853
17,31,53.021,15.118,52.29,23.345,26,30.414,12.5,38.639
48.01,15.532,11.011,25.675,31.101,22.277,13.038,16.978,31.121,16.971
36.139,9.055,30.15,28.669,44.525,50.99,14.422,11.18,38.122,24
19.849,25.812,12.5,24.39,29.004,22.142,49.041,14.983,16.553,15.133
13.928,30.566,6.5,33.627,13,23.162,20.125,61.012,12.619,46.615
23,20.988,16.508,31.878,47.186,27.5,13.038,17.335,30.5,76.026
17.117,22.136,48.448,35.267,13.342,25.622,11.705,21.932,39.778,39.294
11.402,15.572,23.436,31.805,27.987,10.124,30.48,26.725,4.743,27.019
13.038,29.155,48.847,21.932,34.886,45.412,20.518,14.142,10.012,38.013
27.203,33.061,33.615,19.678,19.059,12.093,13,25.812,20.616,25.179
35.511,29.954,20.156,32.498,26.249,12.01,34.205,28.004,6.801,48.508
26.926,18.682,24.99,12.763,8.5,44.511,23.324,19.039,12.104,17.117
32.016,19.526,24.135,29.432,18.248,26.505,4,17.755,18.125,22.561
19.698,13.829,60.706,21.359,6.727,30.635,46.872,12.855,19.506,23.854
13.038,19.105,31.484,19.802,4.717,23.022,9.434,20.797,13,18.028
12.649,16.378,19.729,31.401,6.519,27.803,42.45,32.638,20.056,28.284
13.601,33.136,32.035,21.375,6.946,15.508,6,25.495,17.088,13.153
6.325,38.148,21.645,28.698,19.526,26.618,34,18.111,26.907,126.127
28.653,17.464,40.028,16.826,33.095,23.633,15.133,17.103,42.003,28.018
29.428,23.162,40.265,28.052,43.832,31.575,43.738,25.495,12.649,29.069
22.472,15.24,24.254,14.851,46.597,26.077,30.594,8.5,14.089,35.057
37.216,20.402,37.59,24.687,33.526,21.783,55.731,7.382,21.101,32.45
44.147,11.662,32.442,24.911,31.953,46.209,25.942,19.962,27.074,55.785
23.537,21.213,39.715,22.01,19.164,22.94,31.321,17.029,51.81,25
52.154,19.059,27.5,25.009,34.702,10.05,41.231,26.627,18.069,44.721
22.472,20.131,28.692,15.074,17.464,20.359,14,37.885,37,30.887
18.358,32.249,20.1,31.962,29.753,10.77,7,12.01,49.925,44.721
9.22,33.682,24.622,27.909,22.589,10.966,42.012,30.647,13.601,29
37.336,14.807,18.507,42.297,19.66,63.879,36,25.283,23.838,50.537
44.407,24.622,14.151,26.167,48.585,28.151,16.125,32.191,22.051,21
41.012,14.866,21.219,20.344,22.299,9.618,21,30.516,6.671,46.043
